Line,Station Name,Daytime Routes,Borough Name,Complex Id,Division,Gtfs Stop Id,North Direction Label,South Direction Label,Station Geom,Station Id,Structure,Station Lat,Station Lon
Astoria,Astoria - Ditmars Blvd,N W,Queens,1,BMT,R01,,Manhattan,POINT(-73.912034 40.775036),1,Elevated,40.775036,-73.912034
Astoria,Astoria Blvd,N W,Queens,2,BMT,R03,Ditmars Blvd,Manhattan,POINT(-73.917843 40.770258),2,Elevated,40.770258,-73.917843
Astoria,30 Av,N W,Queens,3,BMT,R04,Astoria - Ditmars Blvd,Manhattan,POINT(-73.921479 40.766779),3,Elevated,40.766779,-73.921479
Astoria,Broadway,N W,Queens,4,BMT,R05,Astoria - Ditmars Blvd,Manhattan,POINT(-73.925508 40.76182),4,Elevated,40.76182,-73.925508
Astoria,36 Av,N W,Queens,5,BMT,R06,Astoria - Ditmars Blvd,Manhattan,POINT(-73.929575 40.756804),5,Elevated,40.756804,-73.929575
Astoria,39 Av,N W,Queens,6,BMT,R08,Astoria - Ditmars Blvd,Manhattan,POINT(-73.932755 40.752882),6,Elevated,40.752882,-73.932755
Astoria,Lexington Av/59 St,N W R,Manhattan,613,BMT,R11,Queens,Downtown & Brooklyn,POINT(-73.967258 40.76266),7,Subway,40.76266,-73.967258
Astoria,5 Av/59 St,N W R,Manhattan,8,BMT,R13,Queens,Downtown & Brooklyn,POINT(-73.973347 40.764811),8,Subway,40.764811,-73.973347
Broadway - Brighton,57 St - 7 Av,N Q R W,Manhattan,9,BMT,R14,Uptown & Queens,Downtown & Brooklyn,POINT(-73.980658 40.764664),9,Subway,40.764664,-73.980658
Broadway - Brighton,49 St,N R W,Manhattan,10,BMT,R15,Uptown & Queens,Downtown & Brooklyn,POINT(-73.984139 40.759901),10,Subway,40.759901,-73.984139
Broadway - Brighton,Times Sq - 42 St,N Q R W,Manhattan,611,BMT,R16,Uptown & Queens,Downtown & Brooklyn,POINT(-73.986754 40.754672),11,Subway,40.754672,-73.986754
Broadway - Brighton,34 St - Herald Sq,N Q R W,Manhattan,607,BMT,R17,Uptown & Queens,Downtown & Brooklyn,POINT(-73.98795 40.749567),12,Subway,40.749567,-73.98795
Broadway - Brighton,28 St,R W,Manhattan,13,BMT,R18,Uptown & Queens,Downtown & Brooklyn,POINT(-73.988691 40.745494),13,Subway,40.745494,-73.988691
Broadway - Brighton,23 St,R W,Manhattan,14,BMT,R19,Uptown & Queens,Downtown & Brooklyn,POINT(-73.989344 40.741303),14,Subway,40.741303,-73.989344
Broadway - Brighton,14 St - Union Sq,N Q R W,Manhattan,602,BMT,R20,Uptown & Queens,Downtown & Brooklyn,POINT(-73.990568 40.735736),15,Subway,40.735736,-73.990568
Broadway - Brighton,8 St - NYU,R W,Manhattan,16,BMT,R21,Uptown & Queens,Downtown & Brooklyn,POINT(-73.992629 40.730328),16,Subway,40.730328,-73.992629
Broadway - Brighton,Prince St,R W,Manhattan,17,BMT,R22,Uptown & Queens,Downtown & Brooklyn,POINT(-73.997702 40.724329),17,Subway,40.724329,-73.997702
Broadway,Canal St,R W,Manhattan,623,BMT,R23,Uptown & Queens,Downtown & Brooklyn,POINT(-74.001775 40.719527),18,Subway,40.719527,-74.001775
Manhattan Bridge,Canal St,N Q,Manhattan,623,BMT,Q01,Uptown & Queens,Downtown & Brooklyn,POINT(-74.00046 40.718383),19,Subway,40.718383,-74.00046
Broadway,City Hall,R W,Manhattan,20,BMT,R24,Uptown & Queens,Downtown & Brooklyn,POINT(-74.006978 40.713282),20,Subway,40.713282,-74.006978
Broadway,Cortlandt St,R W,Manhattan,624,BMT,R25,Uptown & Queens,Downtown & Brooklyn,POINT(-74.011029 40.710668),21,Subway,40.710668,-74.011029
Broadway,Rector St,R W,Manhattan,22,BMT,R26,Uptown & Queens,Downtown & Brooklyn,POINT(-74.013342 40.70722),22,Subway,40.70722,-74.013342
Broadway,Whitehall St,R W,Manhattan,635,BMT,R27,Uptown & Queens,Brooklyn,POINT(-74.012994 40.703087),23,Subway,40.703087,-74.012994
Broadway,Court St,R,Brooklyn,620,BMT,R28,Manhattan,Bay Ridge - 95 St,POINT(-73.991777 40.6941),24,Subway,40.6941,-73.991777
Broadway,Jay St - MetroTech,R,Brooklyn,636,BMT,R29,Manhattan,Bay Ridge - 95 St,POINT(-73.985942 40.69218),25,Subway,40.69218,-73.985942
Broadway - Brighton,DeKalb Av,B Q R,Brooklyn,26,BMT,R30,Manhattan,Coney Island - Bay Ridge,POINT(-73.981824 40.690635),26,Subway,40.690635,-73.981824
4th Av,Atlantic Av - Barclays Ctr,D N R,Brooklyn,617,BMT,R31,Manhattan,Coney Island - Bay Ridge,POINT(-73.97881 40.683666),27,Subway,40.683666,-73.97881
4th Av,Union St,R,Brooklyn,28,BMT,R32,Manhattan,Bay Ridge - 95 St,POINT(-73.98311 40.677316),28,Subway,40.677316,-73.98311
4th Av,9 St,R,Brooklyn,608,BMT,R33,Manhattan,Bay Ridge - 95 St,POINT(-73.988302 40.670847),29,Subway,40.670847,-73.988302
4th Av,Prospect Av,R,Brooklyn,30,BMT,R34,Manhattan,Bay Ridge - 95 St,POINT(-73.992872 40.665414),30,Subway,40.665414,-73.992872
4th Av,25 St,R,Brooklyn,31,BMT,R35,Manhattan,Bay Ridge - 95 St,POINT(-73.998091 40.660397),31,Subway,40.660397,-73.998091
4th Av,36 St,D N R,Brooklyn,32,BMT,R36,Manhattan,Coney Island - Bay Ridge,POINT(-74.003549 40.655144),32,Subway,40.655144,-74.003549
4th Av,45 St,R,Brooklyn,33,BMT,R39,Manhattan,Bay Ridge - 95 St,POINT(-74.010006 40.648939),33,Subway,40.648939,-74.010006
4th Av,53 St,R,Brooklyn,34,BMT,R40,Manhattan,Bay Ridge - 95 St,POINT(-74.014034 40.645069),34,Subway,40.645069,-74.014034
4th Av,59 St,N R,Brooklyn,35,BMT,R41,Manhattan,Coney Island - Bay Ridge,POINT(-74.017881 40.641362),35,Subway,40.641362,-74.017881
4th Av,Bay Ridge Av,R,Brooklyn,36,BMT,R42,Manhattan,95 St,POINT(-74.023377 40.634967),36,Subway,40.634967,-74.023377
4th Av,77 St,R,Brooklyn,37,BMT,R43,Manhattan,95 St,POINT(-74.02551 40.629742),37,Subway,40.629742,-74.02551
4th Av,86 St,R,Brooklyn,38,BMT,R44,Manhattan,95 St,POINT(-74.028398 40.622687),38,Subway,40.622687,-74.028398
4th Av,Bay Ridge - 95 St,R,Brooklyn,39,BMT,R45,Manhattan,,POINT(-74.030876 40.616622),39,Subway,40.616622,-74.030876
Broadway - Brighton,Atlantic Av - Barclays Ctr,B Q,Brooklyn,617,BMT,D24,Manhattan,Brighton Beach & Coney Island,POINT(-73.97689 40.68446),40,Subway,40.68446,-73.97689
Broadway - Brighton,7 Av,B Q,Brooklyn,41,BMT,D25,Manhattan,Brighton Beach & Coney Island,POINT(-73.972367 40.67705),41,Subway,40.67705,-73.972367
Broadway - Brighton,Prospect Park,B Q,Brooklyn,42,BMT,D26,Manhattan & Franklin Av,Brighton Beach & Coney Island,POINT(-73.962246 40.661614),42,Open Cut,40.661614,-73.962246
Broadway - Brighton,Parkside Av,B Q,Brooklyn,43,BMT,D27,Manhattan,Brighton Beach & Coney Island,POINT(-73.961495 40.655292),43,Open Cut,40.655292,-73.961495
Broadway - Brighton,Church Av,B Q,Brooklyn,44,BMT,D28,Manhattan,Brighton Beach & Coney Island,POINT(-73.962982 40.650527),44,Open Cut,40.650527,-73.962982
Broadway - Brighton,Beverley Rd,B Q,Brooklyn,45,BMT,D29,Manhattan,Brighton Beach & Coney Island,POINT(-73.964492 40.644031),45,Open Cut,40.644031,-73.964492
Broadway - Brighton,Cortelyou Rd,B Q,Brooklyn,46,BMT,D30,Manhattan,Brighton Beach & Coney Island,POINT(-73.963891 40.640927),46,Open Cut,40.640927,-73.963891
Broadway - Brighton,Newkirk Plaza,B Q,Brooklyn,47,BMT,D31,Manhattan,Brighton Beach & Coney Island,POINT(-73.962793 40.635082),47,Open Cut,40.635082,-73.962793
Broadway - Brighton,Avenue H,B Q,Brooklyn,48,BMT,D32,Manhattan,Brighton Beach & Coney Island,POINT(-73.961639 40.62927),48,Open Cut,40.62927,-73.961639
Broadway - Brighton,Avenue J,B Q,Brooklyn,49,BMT,D33,Manhattan,Brighton Beach & Coney Island,POINT(-73.960803 40.625039),49,Open Cut,40.625039,-73.960803
Broadway - Brighton,Avenue M,B Q,Brooklyn,50,BMT,D34,Manhattan,Brighton Beach & Coney Island,POINT(-73.959399 40.617618),50,Open Cut,40.617618,-73.959399
Broadway - Brighton,Kings Hwy,B Q,Brooklyn,51,BMT,D35,Manhattan,Brighton Beach & Coney Island,POINT(-73.957734 40.60867),51,Open Cut,40.60867,-73.957734
Broadway - Brighton,Avenue U,B Q,Brooklyn,52,BMT,D37,Manhattan,Brighton Beach & Coney Island,POINT(-73.955929 40.5993),52,Open Cut,40.5993,-73.955929
Broadway - Brighton,Neck Rd,B Q,Brooklyn,53,BMT,D38,Manhattan,Brighton Beach & Coney Island,POINT(-73.955161 40.595246),53,Open Cut,40.595246,-73.955161
Broadway - Brighton,Sheepshead Bay,B Q,Brooklyn,54,BMT,D39,Manhattan,Brighton Beach & Coney Island,POINT(-73.954155 40.586896),54,Open Cut,40.586896,-73.954155
Broadway - Brighton,Brighton Beach,B Q,Brooklyn,55,BMT,D40,Manhattan,Coney Island,POINT(-73.961376 40.577621),55,Elevated,40.577621,-73.961376
Broadway - Brighton,Ocean Pkwy,Q,Brooklyn,56,BMT,D41,Manhattan,Stillwell Av,POINT(-73.968501 40.576312),56,Elevated,40.576312,-73.968501
Broadway - Brighton,W 8 St - NY Aquarium,F Q,Brooklyn,57,BMT,D42,Manhattan,Stillwell Av,POINT(-73.975939 40.576127),57,Elevated,40.576127,-73.975939
Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,D F N Q,Brooklyn,58,BMT,D43,Manhattan,,POINT(-73.981233 40.577422),58,Viaduct,40.577422,-73.981233
West End,9 Av,D,Brooklyn,59,BMT,B12,Manhattan,Coney Island,POINT(-73.994324 40.646292),59,Open Cut,40.646292,-73.994324
West End,Fort Hamilton Pkwy,D,Brooklyn,60,BMT,B13,Manhattan,Coney Island,POINT(-73.994304 40.640914),60,Elevated,40.640914,-73.994304
West End,50 St,D,Brooklyn,61,BMT,B14,Manhattan,Coney Island,POINT(-73.994791 40.63626),61,Elevated,40.63626,-73.994791
West End,55 St,D,Brooklyn,62,BMT,B15,Manhattan,Coney Island,POINT(-73.995476 40.631435),62,Elevated,40.631435,-73.995476
West End,62 St,D,Brooklyn,615,BMT,B16,Manhattan,Coney Island,POINT(-73.996895 40.626472),63,Elevated,40.626472,-73.996895
West End,71 St,D,Brooklyn,64,BMT,B17,Manhattan,Coney Island,POINT(-73.998864 40.619589),64,Elevated,40.619589,-73.998864
West End,79 St,D,Brooklyn,65,BMT,B18,Manhattan,Coney Island,POINT(-74.00061 40.613501),65,Elevated,40.613501,-74.00061
West End,18 Av,D,Brooklyn,66,BMT,B19,Manhattan,Coney Island,POINT(-74.001736 40.607954),66,Elevated,40.607954,-74.001736
West End,20 Av,D,Brooklyn,67,BMT,B20,Manhattan,Coney Island,POINT(-73.998168 40.604556),67,Elevated,40.604556,-73.998168
West End,Bay Pkwy,D,Brooklyn,68,BMT,B21,Manhattan,Coney Island,POINT(-73.993728 40.601875),68,Elevated,40.601875,-73.993728
West End,25 Av,D,Brooklyn,69,BMT,B22,Manhattan,Coney Island,POINT(-73.986829 40.597704),69,Elevated,40.597704,-73.986829
West End,Bay 50 St,D,Brooklyn,70,BMT,B23,Manhattan,Coney Island,POINT(-73.983765 40.588841),70,Elevated,40.588841,-73.983765
Sea Beach,8 Av,N,Brooklyn,71,BMT,N02,Manhattan,Coney Island,POINT(-74.011719 40.635064),71,Open Cut,40.635064,-74.011719
Sea Beach,Fort Hamilton Pkwy,N,Brooklyn,72,BMT,N03,Manhattan,Coney Island,POINT(-74.005351 40.631386),72,Open Cut,40.631386,-74.005351
Sea Beach,New Utrecht Av,N,Brooklyn,615,BMT,N04,Manhattan,Coney Island,POINT(-73.996353 40.624842),73,Open Cut,40.624842,-73.996353
Sea Beach,18 Av,N,Brooklyn,74,BMT,N05,Manhattan,Coney Island,POINT(-73.990414 40.620671),74,Open Cut,40.620671,-73.990414
Sea Beach,20 Av,N,Brooklyn,75,BMT,N06,Manhattan,Coney Island,POINT(-73.985026 40.61741),75,Open Cut,40.61741,-73.985026
Sea Beach,Bay Pkwy,N,Brooklyn,76,BMT,N07,Manhattan,Coney Island,POINT(-73.981848 40.611815),76,Open Cut,40.611815,-73.981848
